1000,3000,10000,30000,100000,1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,benchmark10,Predictive value
32850.8,32851.8,32852,32851.8,32854.3,32853.5,32854.25,32855,32853,32853.5,32854.75,32854.75,32854.75,32854.75,32854.75,32854.75,32855.25,32855.25,32855.5,32855.75,32855.75,32856.75,32856.75,32856.5,32856.25,32853.1,32863.72,32853.37622
32862.5,32861.8,32860.8,32860.8,32864.3,32866,32863,32864.75,32866.75,32866.25,32866.25,32865,32865,32865,32865,32865.25,32866,32866.75,32867,32867.25,32867,32868.25,32868.25,32867.75,32868.25,32863.72,32859.09,32864.27441
32859.3,32857,32856.5,32858.3,32860.8,32857.75,32859.25,32857.25,32858.5,32860.5,32861,32861.25,32862.5,32862.75,32862.75,32862.75,32862.75,32862.5,32862.5,32863,32864,32863.5,32863.75,32864.25,32864.25,32859.09,32856.97,32859.77632
32856.8,32856.8,32856.8,32854.5,32857.5,32856.75,32857.5,32857.25,32857.75,32857,32858,32857.75,32857.25,32857,32857.25,32857.25,32856.5,32856.5,32856.5,32858,32857.75,32857.75,32857.75,32857.75,32858.25,32856.97,32861.84,32857.11422
32861.3,32860,32861,32860.8,32860.3,32863.75,32863,32862.25,32862.25,32863,32863.5,32862.5,32862.5,32862.5,32862.5,32862.5,32862,32862,32861.75,32861.5,32862.25,32862,32861.75,32860.5,32860.5,32861.84,32855.16,32861.75166
32854.3,32854.5,32854.5,32855,32854.8,32855.5,32854.75,32855.5,32856.5,32855.5,32855.75,32856,32856,32855.75,32855.25,32855.25,32855.25,32855.5,32855.25,32855,32855,32855,32855,32854.75,32855.25,32855.16,32855.46,32855.18828
32856,32856,32856.8,32855.8,32856.5,32855,32855.75,32855.75,32855.25,32854.5,32853.75,32854.25,32853.75,32854.75,32854.75,32854.75,32855,32855.75,32855.75,32855.5,32855.5,32856,32856,32856,32856,32855.46,32853.89,32855.48819
32853.8,32853.8,32855.5,32852.8,32853.5,32854,32855.5,32854.5,32852.75,32853.25,32853.25,32854,32854,32853.5,32853.75,32853.75,32853.75,32853.75,32853.75,32853.75,32854.5,32854,32853.75,32854.5,32854.5,32853.89,32844.86,32853.75467
32844.3,32842.8,32842.5,32844.5,32846,32845,32844.5,32845,32846,32846,32846.25,32847,32846.75,32847.5,32847.5,32847,32847.25,32847.25,32847.5,32847.5,32847.25,32848.5,32848.25,32848,32847.75,32844.86,32845.15,32845.38849
32844.3,32844.3,32843.5,32844.8,32847.3,32846,32844.75,32846.25,32846,32845.75,32845,32845.25,32845.5,32845.75,32846,32846.5,32846.75,32847,32846.5,32847,32847,32847,32847.25,32847.5,32847,32845.15,32852.27,32845.38919
32851.3,32850.5,32851.8,32849.8,32852.5,32856,32852.5,32851,32851.75,32852.5,32853,32853.5,32853.5,32853.5,32853.25,32853.25,32853.25,32853,32852.75,32852.25,32853,32853,32854,32854,32854.5,32852.27,32844.29,32852.19122
32844,32843.3,32843.3,32845,32847.5,32842.75,32843.25,32843.25,32844.25,32845,32844.5,32845,32845,32847.25,32847.25,32847.25,32847.25,32847.5,32848.5,32849,32849,32849.5,32849.75,32850,32850.25,32844.29,32817.53,32845.12933
32818.8,32819.3,32817.3,32817.3,32819.3,32816,32816.5,32816.5,32816.75,32816.25,32817,32817,32817,32816.75,32816.75,32816.75,32816.25,32816.25,32816.75,32816.25,32814.75,32814.75,32814.25,32814,32813.75,32817.53,32817.72,32817.37211
32817,32819.8,32818.8,32818.3,32817.3,32816.5,32816.5,32818.5,32817.75,32817.25,32818,32817.25,32817.25,32818,32817.75,32817.25,32816.5,32816.75,32816.75,32816.75,32817,32816.5,32815.5,32815.25,32814.75,32817.72,32814.48,32817.73424
32816.5,32816.5,32812.5,32814,32815.3,32814,32813.75,32813.5,32814.25,32813.75,32813.75,32813.75,32814.25,32814.25,32814,32814,32814,32814,32814.25,32815,32815.25,32815.25,32815.5,32815.5,32816,32814.48,32806.72,32814.46639
32809.3,32805.8,32805.8,32805,32809.3,32808.75,32806.5,32806.25,32805,32805.25,32805.5,32805.25,32806.25,32806.75,32807,32807.25,32806.75,32806.5,32806.5,32806.5,32805.75,32805.75,32806.75,32806.25,32805.75,32806.72,32805.99,32806.60757
32808.3,32805.8,32805,32806,32809.3,32806,32805,32804.75,32804.75,32805.25,32805.25,32804.5,32804.5,32805.25,32805.5,32805.75,32805.75,32805.5,32805.75,32806,32805.5,32807.75,32807.5,32807.25,32806,32805.99,32798,32806.10151
32795.8,32795.8,32799,32799.3,32798.3,32798.5,32798.5,32797.25,32797.25,32797.5,32798.75,32798.75,32798.75,32798.75,32798.75,32798.75,32798.75,32798.75,32798.75,32798.75,32800,32799.5,32799,32799,32798.25,32798,32799.99,32797.96499
32800.3,32798.8,32800.8,32800,32801.5,32800,32798.75,32798.75,32799.75,32799.75,32799.75,32799.75,32800.25,32800,32800.25,32800.25,32800,32800.25,32799.25,32798.75,32799,32799.25,32799.75,32799,32799.25,32799.99,32805.12,32800.07901
32808.3,32805.8,32805,32803.8,32803.8,32806,32805.5,32804.25,32804.5,32804,32804.25,32804.25,32804.25,32804.75,32804.75,32805.25,32805.25,32805.25,32805,32804.75,32805,32804.25,32804.25,32805,32805,32805.12,32805.99,32804.98829
32806.5,32807,32807.5,32804.8,32804.3,32807,32807,32805.5,32805.5,32805.5,32804.75,32804.75,32805.5,32805.75,32805.75,32805.75,32805.75,32805.75,32805.75,32805.75,32805.75,32806,32806,32805.5,32805.5,32805.99,32805.19,32805.76125
32804.5,32804.5,32806.8,32803.8,32806.5,32804.5,32805.5,32805,32805,32804.75,32805,32805.5,32805.75,32805.75,32805.75,32805.75,32806,32806,32805.75,32806.25,32806.5,32806,32805.5,32805,32804.75,32805.19,32824.74,32805.34887
32825,32824.3,32823.8,32824.3,32826,32825,32824.5,32824.75,32824.75,32825.5,32825.75,32824.25,32824,32824.75,32824,32824,32824,32825,32824.75,32825.25,32824.75,32824.75,32823.25,32823.5,32823.25,32824.74,32814.44,32824.79696
32815.5,32813.3,32813.3,32812.8,32814,32815.5,32815.5,32815.25,32815.5,32815.25,32814.5,32814.25,32814.5,32814,32814,32814,32814.5,32814.75,32814.75,32815,32816,32816,32816.25,32815.5,32815.25,32814.44,32820.74,32814.44697
32822.3,32822.3,32820,32818.8,32820.5,32822,32820,32820.75,32821,32820,32820,32820.25,32820.5,32820.5,32820.5,32820.5,32819.25,32818.75,32818.25,32818.25,32817.75,32819.25,32819.25,32818.75,32819.25,32820.74,32831.84,32820.52436
32831.5,32831.3,32831.3,32829,32832,32833.75,32832.75,32832.75,32832.25,32832.5,32833,32832.5,32831.5,32831.5,32831.75,32832,32832,32832,32832,32832,32831.5,32831.75,32832,32832.25,32831.5,32831.84,32835.72,32831.82888
32835.3,32834.3,32834.3,32834,32836.3,32836.25,32838.5,32837.75,32837.5,32836.75,32835.75,32835.25,32835,32835.5,32835.5,32835.5,32835,32834.75,32834.75,32835.25,32835.5,32835.5,32835.5,32835.5,32835.5,32835.72,32824.3,32835.69144
32824.8,32824.8,32824.3,32825.3,32823,32824.5,32824.25,32824,32824.25,32823.75,32824.25,32824.25,32823.5,32823.5,32823.75,32823.25,32822.75,32823,32822.75,32823,32823.75,32823.25,32822,32820.75,32820.75,32824.3,32804.74,32824.00472
32806.8,32805.8,32805.3,32802,32801.5,32802.75,32805.75,32805.5,32805.75,32805.75,32805.75,32805.5,32806,32806.5,32806.5,32806.5,32805.25,32805.25,32805.5,32805.75,32806.5,32806,32806.25,32808.25,32808,32804.74,32814.53,32805.24089
32816,32814.8,32813.5,32813.5,32815.5,32816,32814.5,32813.5,32813.75,32813.25,32813.5,32813.25,32814.25,32814.5,32814.75,32814.75,32814.25,32814.5,32814.5,32815.25,32813.75,32813.75,32813.25,32812.25,32812.5,32814.53,32814.69,32814.2485
32817,32814.5,32812.8,32813.8,32816.3,32815.5,32814.5,32814.25,32814.25,32814.25,32814,32814,32814.25,32814.25,32814.75,32814.75,32814.75,32814.75,32814.75,32814.25,32813.75,32813.75,32813.5,32813.25,32812,32814.69,32822.04,32814.57541
32824,32822.5,32821.3,32819.8,32820.5,32824,32824,32822.75,32821.25,32821.25,32821.5,32821.75,32821.5,32821.5,32821.25,32821.25,32821.25,32821.5,32821.75,32822.25,32822.5,32822.5,32821.5,32821.75,32820.75,32822.04,32838.14,32821.68099
32839,32836.8,32836.5,32837.5,32839.3,32840.25,32839,32837.25,32837.25,32838.5,32837.5,32837.25,32838.25,32839,32838,32838.5,32838.75,32838.75,32838,32838.25,32838.25,32838.25,32838.25,32838,32837.5,32838.14,32832.34,32837.97783
32831.5,32831.3,32830,32832,32832.3,32833.5,32832.75,32833,32832.5,32833.5,32833.75,32833.75,32833.75,32834,32834,32834,32834.75,32834,32834.5,32834.5,32834.25,32834.25,32834.25,32834,32833.25,32832.34,32821.68,32832.49443
32820.5,32820.5,32819.3,32822.5,32822,32821.25,32821.5,32823.5,32823.25,32823.5,32823,32823,32823,32823.25,32824,32824,32824,32824,32823.5,32823.5,32823.5,32822.75,32823.5,32823.5,32822.75,32821.68,32830.85,32822.08423
32831.8,32830.3,32828.8,32827.8,32835.8,32831,32830.25,32829.5,32829.5,32830.5,32831.75,32831.5,32831.5,32831,32830.75,32831.75,32831.75,32832,32832.25,32831.75,32831.75,32831.75,32832.25,32830.75,32830.75,32830.85,32842.66,32831.02313
32840.8,32840,32844.3,32845,32842,32840.75,32840.75,32844.25,32844.5,32844.75,32845,32844,32843.5,32843.5,32843.5,32843.75,32843.75,32843.75,32844,32844.75,32845.5,32844.25,32844,32842.75,32842.75,32842.66,32828.77,32843.31867
32829.3,32829.3,32828.8,32825.8,32825,32829.25,32829.25,32829.25,32830.75,32830,32830.25,32830,32830,32830.5,32830.75,32831,32832,32832,32831.25,32831,32831,32831,32830.5,32830,32829.25,32828.77,32822.69,32829.14178
32821.5,32821.5,32819.8,32822.8,32822.5,32822.25,32822.5,32823.75,32823.25,32824.25,32824.25,32826.5,32826.5,32826.75,32826.5,32826.5,32826.25,32825.75,32825.75,32825.5,32825.25,32826.25,32827.5,32827.25,32827.5,32822.69,32822.2,32823.25737
32820.5,32820.5,32823,32823.5,32822.5,32821.75,32821.25,32823,32823,32823.25,32823.25,32822.75,32822.75,32824,32824.75,32824.5,32824.5,32824.5,32824.5,32824,32823.75,32824,32823.5,32823.75,32826.25,32822.2,32809.72,32822.75118
32810.8,32810.8,32811.5,32808.8,32805.8,32810.75,32808.5,32809.5,32809.5,32811.25,32810.25,32810.5,32810.5,32810.5,32810.5,32811.25,32810.25,32810.25,32810.25,32810,32810,32810.75,32810.5,32809.75,32811.5,32809.72,32809.91,32809.91215
32811,32811,32811,32809,32805.8,32810,32809.75,32810.25,32810,32811.75,32811,32810.25,32810.5,32810.75,32811.75,32811.5,32810.5,32810.25,32809.75,32809.25,32809,32808,32808.5,32807.75,32807.75,32809.91,32804.33,32810.02342
32801.8,32806.5,32805,32805,32804,32804.5,32801.75,32805,32805,32805,32805,32805,32804.75,32805.5,32805.5,32805.5,32805.75,32805.75,32805.75,32804.5,32804.25,32804.5,32805,32805,32804.5,32804.33,32805.61,32804.57063
32805.5,32805.5,32804,32802.8,32804,32807.25,32806.25,32807.25,32807,32807.25,32807,32807.25,32806.75,32807.25,32806.75,32807,32807,32807,32807,32807,32807.75,32808,32808,32808.75,32808.25,32805.61,32804.89,32805.87105
32803.8,32803.8,32804,32802.3,32803.5,32808,32805,32805.75,32806,32806.25,32806,32806.5,32806.5,32806,32806.5,32806,32806.25,32806.25,32805.75,32805.75,32805.5,32805.75,32806,32806.5,32806.25,32804.89,32813.69,32804.91172
32813.5,32813.5,32813.3,32813.3,32815.3,32812.5,32812.75,32813.25,32813.5,32813,32814.25,32813.75,32815,32814.25,32814.25,32814.25,32814.5,32814.5,32814.75,32814.75,32813,32813.25,32812,32812,32811.25,32813.69,32812.66,32813.75023
32812.3,32813,32812,32812,32809,32813.75,32813.25,32813.25,32813,32814.25,32815,32813.5,32813.25,32812.75,32812.75,32814.5,32814.25,32812.75,32812.5,32812.75,32812.75,32813.25,32813.25,32812,32811,32812.66,32819.09,32812.59269
32819.3,32817.3,32816.8,32817.5,32820,32821,32819.5,32819.5,32820,32820,32819.5,32820,32820,32819.5,32819,32819,32818.25,32818.25,32818.75,32818.75,32818.5,32819.25,32818,32817.75,32818,32819.09,32813.71,32818.97552
32812.3,32812.3,32811,32813,32815.5,32815.25,32812.75,32814,32814.25,32815.5,32815.5,32816,32815.25,32815.5,32815.5,32815.5,32815.25,32815.25,32815.25,32815.25,32815.5,32815.5,32815.25,32814.25,32815.25,32813.71,32812.76,32813.98757
32811,32811,32808.8,32812,32814.3,32814.5,32812,32814.5,32814.5,32814.5,32815.25,32814,32814.25,32814.25,32814.5,32814.5,32814.5,32814,32814,32814.25,32814.25,32812.25,32811.75,32811.75,32811.25,32812.76,32784.6,32812.89592
32782.8,32782.3,32785.3,32784.5,32783.8,32787,32785,32785.5,32785.5,32785,32785,32784.75,32784.75,32786,32786.5,32786.5,32787,32787,32787.25,32787.25,32787,32786.75,32787,32786.75,32786.75,32784.6,32764.02,32784.7844
32763.3,32763.3,32764.5,32762.3,32762.3,32764.75,32765,32764.5,32764.5,32764.75,32765,32765,32765.25,32768.25,32767.75,32768,32768,32768.75,32769.5,32770,32769.75,32771,32771,32771,32771,32764.02,32762.47,32764.72684
32759.3,32764.5,32764.8,32761.8,32759.3,32759.25,32764.5,32764.5,32764,32763.5,32763.5,32763.25,32763.75,32763.75,32763.75,32764.25,32764.25,32763.5,32763.5,32764,32764,32763.25,32763.25,32764,32763.5,32762.47,32773.91,32762.72289
32776.8,32772.5,32773.5,32773,32778,32773,32772.5,32773.75,32774.5,32772.75,32772.75,32772.5,32772.5,32772.75,32772.75,32773.25,32773.25,32773,32772.75,32772.75,32772.25,32771,32770.5,32770.5,32770.25,32773.91,32796.16,32774.07289
32798.8,32796.5,32795,32793.5,32793.3,32798.75,32797.5,32798,32796,32796.25,32796.25,32796,32796,32795.75,32795.75,32796,32796,32795.5,32796.5,32796.25,32796.25,32796.25,32794.75,32794,32794,32796.16,32796.63,32795.88764
32798,32797.3,32799,32795.5,32793,32795.75,32798,32799,32796.5,32796.5,32796.5,32797.25,32796.75,32797.5,32797,32797.5,32797.25,32797.5,32797.5,32797.25,32797.5,32797.25,32797,32797,32796.5,32796.63,32800.72,32796.83568
32799.8,32799.8,32800.8,32798.5,32799.3,32801.75,32803.25,32803.25,32803.25,32802.5,32801.75,32800.5,32799,32799.5,32799.5,32799.5,32799.75,32800,32799.5,32800,32799.5,32800.75,32800.5,32800.5,32800,32800.72,32814.14,32800.69978
32812.3,32811.8,32816.5,32811.8,32812.5,32814.5,32817,32816.75,32817,32814.5,32813.75,32815.25,32814.25,32813.75,32813.75,32813.5,32813.25,32813.5,32812.5,32812.25,32811.5,32812,32813,32812,32810.25,32814.14,32800.09,32814.02839
32796.3,32795.8,32798.8,32802,32806,32797.5,32799.5,32800.5,32800.75,32801.75,32801.75,32801.75,32802.5,32802.5,32802.75,32801.75,32801.75,32801,32800.75,32800.5,32800.5,32800.5,32799.5,32798.75,32798.75,32800.09,32787.99,32800.5094
32787.3,32785.3,32787.5,32790.8,32792,32787.25,32787,32787.25,32786.75,32787.5,32788,32787.75,32788,32788.75,32789,32789.25,32789.5,32789,32789,32788.5,32788.25,32788.5,32788.5,32788.5,32788.5,32787.99,32792.79,32788.18576
32791.8,32792,32794.3,32793.5,32793.3,32792,32792.75,32794.25,32792.5,32792.5,32792.75,32792.75,32793,32792.5,32792.75,32792.5,32792.5,32792.5,32792.5,32792.25,32792,32792.5,32793.25,32793.25,32793.5,32792.79,32797.96,32792.86262
32799.5,32800,32795.5,32795.5,32798.3,32799.5,32798.5,32798.75,32797.25,32797.75,32797.75,32797.75,32797.75,32798,32798,32797.75,32796.75,32796.75,32797,32796.5,32796.5,32796.5,32796.25,32796,32796.5,32797.96,32789.79,32797.69311
32788.3,32788.3,32789,32790.5,32792.8,32789.5,32788.25,32789.5,32789.5,32791,32791,32790.75,32790.75,32791.25,32791.25,32791.25,32791,32791,32791.5,32791.25,32791.75,32791.75,32791.25,32791.5,32791.75,32789.79,32786.46,32790.1763
32785.8,32786,32785,32788.5,32788.5,32785.75,32785,32785.25,32785.75,32787.25,32787.25,32787,32787,32787,32786.75,32786.5,32786,32785.75,32785.5,32785,32784.5,32784.25,32783.5,32783.5,32784,32786.46,32787.44,32786.3868
32786.8,32787.5,32787.3,32786.5,32786.3,32788.5,32788.25,32789.5,32787.75,32787.5,32787.75,32787.75,32787.75,32787.5,32788.75,32788.5,32788.5,32787.75,32787.75,32788.25,32789.25,32788.75,32788,32789.75,32789.5,32787.44,32792.67,32787.47616
32793.8,32791,32789.3,32792.5,32794.3,32793.5,32791,32792.25,32793.25,32793.75,32793.75,32794,32794.25,32794.25,32794.25,32793.75,32794,32794.5,32794.5,32794.25,32793.75,32792,32791.25,32791.5,32790.5,32792.67,32804.95,32792.82028
32805.3,32805.3,32805.3,32802.3,32804,32807.75,32805.5,32806.25,32804,32805.25,32805.25,32805,32804.75,32804.75,32804.75,32806.25,32806,32807.5,32807.5,32807.5,32807.5,32807.5,32806.75,32806.75,32806.75,32804.95,32804.3,32804.96216
32805.3,32805.3,32805.3,32801,32803.3,32807.75,32805.5,32803.75,32803,32803.25,32803,32803.75,32803.5,32803.5,32803.5,32803.75,32803.75,32803.75,32803.75,32803.5,32803,32803.5,32803,32802.5,32802.25,32804.3,32783.83,32803.83448
32785.5,32783.5,32781.5,32784.5,32787,32784.25,32783.5,32781.75,32781.5,32783.25,32783.5,32783.75,32783.5,32783.75,32783.75,32784.25,32784.25,32784.5,32784.5,32784,32784,32784,32783.75,32784,32783.75,32783.83,32794.1,32783.7364
32796.8,32793.8,32793.3,32791.8,32791.8,32795.5,32796.75,32793.75,32793.25,32792.75,32794,32794,32794,32794.25,32796,32796.25,32796.25,32796,32796.25,32796.25,32795.5,32795.75,32796.25,32796,32796,32794.1,32784.37,32794.02368
32783.3,32788.3,32785.8,32783.3,32780.5,32783.25,32786.75,32785.25,32784.5,32784,32784.25,32784,32783.75,32783.75,32783.75,32783.75,32784.5,32784.5,32783.5,32783.75,32783.75,32783.75,32783.75,32784,32784,32784.37,32780.96,32784.07857
32779.5,32779.5,32780.5,32780.8,32782.3,32781,32780.75,32781,32781,32781.25,32781.5,32782.75,32782.75,32782.75,32782.75,32783.25,32783,32783.5,32783.5,32784.5,32784,32784,32785.25,32785.25,32785.25,32780.96,32795.67,32781.32988
32795.3,32794.3,32793.8,32794,32800.5,32799.75,32795.25,32794.5,32794.25,32794,32795,32794.5,32794.5,32794.5,32794.5,32794.5,32794.75,32794.5,32794.25,32795,32796.25,32795.75,32796,32795.75,32797,32795.67,32786.07,32795.31609
32787.8,32783.5,32784.5,32788.3,32785.3,32787,32785.5,32783.5,32784.75,32785.5,32787.5,32787.5,32786.5,32786.5,32786.25,32786.5,32786.5,32786.5,32786.25,32785.25,32785.25,32784.25,32784.25,32784.25,32784.75,32786.07,32791.4,32785.89663
32790.8,32789.8,32788.3,32790,32797.3,32792.75,32791,32791.75,32791.5,32791.25,32791.25,32791,32791.25,32791.25,32791.25,32791,32791.25,32791.25,32791.5,32791.75,32792.5,32792.75,32790,32789.75,32789.5,32791.4,32793.19,32791.37082
32794.5,32792.5,32791.3,32791,32797.3,32794.25,32792.75,32792.75,32792.75,32792,32792.5,32792.75,32793,32792.75,32792.75,32792.75,32792.75,32793.25,32793,32794.25,32793.5,32793.75,32793.25,32793.25,32793.5,32793.19,32787.04,32793.18626
32786.8,32785,32785.3,32786,32791.8,32786.75,32788,32786.75,32786,32786.25,32786.5,32788.5,32788.25,32788.75,32788.75,32789.25,32788.25,32788.25,32788.25,32788.25,32788,32787.75,32786.5,32786.5,32787,32787.04,32777.52,32787.19455
32777.3,32775.8,32776.8,32779.8,32781,32776.5,32777.25,32776.5,32776,32776.25,32777.25,32777.25,32777.5,32777.5,32777.5,32777.5,32777.5,32777,32776.5,32776.25,32776.25,32775.75,32777.75,32777.5,32777.5,32777.52,32772.01,32777.48353
32771,32771,32770.8,32773.8,32775,32771.75,32771,32771.5,32771.5,32771.25,32772,32772.25,32772.25,32772.75,32772,32772,32772,32771.5,32771.5,32770.5,32770.25,32770,32770.75,32770.5,32770.25,32772.01,32761.24,32771.9521
32764.3,32762,32758.8,32761,32763,32763,32761.25,32761.25,32758.75,32758.75,32760,32760.25,32760.25,32760,32760,32759.75,32759.5,32759.5,32759.5,32759.25,32759.25,32759.5,32759.5,32758.75,32759,32761.24,32743.12,32760.72236
32743.5,32743.8,32740.5,32744.3,32744.8,32743.5,32740.5,32742.5,32742.5,32744.5,32744.25,32743.5,32743.5,32743.5,32743.75,32744.25,32743.75,32743.75,32742.75,32742.75,32742.5,32742.5,32742,32741.75,32741.25,32743.12,32748.02,32743.22846
32749.3,32747.8,32748.3,32747.8,32747.5,32745.5,32747,32747,32748.5,32749.25,32749.25,32749.25,32749.25,32748.75,32748.75,32748.5,32748,32748,32747.75,32748,32748.5,32748.5,32749.5,32749.5,32749.25,32748.02,32746.19,32748.46597
32746.3,32744.5,32746.5,32745.8,32747,32748.25,32746.75,32746,32746.25,32745.75,32745,32745.5,32745.5,32746.25,32745.25,32745.25,32745.25,32745.5,32745.5,32745.5,32745.5,32744,32744.25,32743,32745.25,32746.19,32758.93,32745.93632
32760.3,32760.3,32757.8,32759.8,32760.8,32760.25,32758.75,32758,32756.75,32757.25,32757.5,32757.5,32757,32756.5,32756.75,32756.75,32757.5,32757.5,32757.25,32759.25,32760,32760,32759.75,32759.25,32757.25,32758.93,32748.31,32758.47854
32748.5,32748.5,32748.5,32746.3,32742.8,32750.25,32750.5,32749.75,32749.75,32749.75,32749,32749.75,32749,32748.75,32749,32748.75,32749,32749,32748.5,32748.25,32749.25,32749.25,32749.75,32750,32749.5,32748.31,32750.7,32748.22338
32749.8,32751.3,32751.3,32751.3,32750.8,32751.75,32751.25,32751.25,32750.25,32750.25,32749.5,32749.5,32749.75,32749.5,32749.25,32750,32750.25,32750,32751.75,32751.75,32751.75,32751.75,32752,32753.25,32753.75,32750.7,32746.98,32750.51202
32747,32747,32748,32747,32743,32748.25,32747.5,32747.25,32747.5,32747.25,32747.25,32747.5,32747.25,32745.25,32745.25,32745.25,32745,32744.75,32744,32744.25,32744.5,32744.25,32744.25,32744.25,32745,32746.98,32756.73,32746.50868
32757,32757,32758.5,32754.3,32755.5,32760.75,32757.5,32758.5,32756.5,32757,32755.25,32755,32755,32755.25,32755.75,32755.75,32755.75,32755.75,32755.75,32755.5,32756.75,32756,32754.75,32754.75,32754.25,32756.73,32752.78,32756.3985
32752.8,32752.8,32752.8,32751.3,32750.3,32753.25,32753.75,32754.75,32755,32752.75,32752.75,32752.75,32753,32753,32753,32753,32753.5,32754,32754,32752.75,32752.5,32752.25,32753,32753,32753,32752.78,32761.54,32752.82903
32763.5,32763.8,32765.3,32762.8,32765,32763.5,32760,32760.25,32757.75,32757.25,32757.25,32757.75,32756.5,32756.75,32756.75,32756.25,32756.25,32757,32756.25,32755,32754.75,32754.5,32754,32754.25,32753.75,32761.54,32754.23,32760.54974
32756.3,32754,32754,32751.5,32751,32758,32757.75,32754.5,32754.5,32752.75,32752.5,32752.75,32752.75,32753,32753.25,32753.25,32753.25,32753.25,32752.25,32753.25,32754,32754,32754,32753.75,32753.25,32754.23,32771.59,32753.61136
32770,32771.8,32773,32772.3,32773,32772,32772,32773,32772.75,32772.75,32769.75,32769.75,32769.25,32769.25,32769.25,32770.25,32769.75,32769.75,32770,32769.5,32769,32769.75,32769.75,32769.25,32769,32771.59,32765.92,32771.40197
32764.5,32765.8,32765.8,32766,32768.8,32767.25,32765.75,32765.75,32764.5,32764.5,32765.75,32765.5,32765,32765.75,32765.25,32765.25,32764.75,32764,32764,32764,32764,32763.75,32764,32763.5,32763,32765.92,32759.34,32765.55752
32760.3,32760.5,32761.8,32760,32752,32761,32760.75,32761.5,32760,32758.75,32759,32757.25,32758,32756.75,32757.25,32756.75,32756.5,32756.75,32756.25,32756.5,32756.5,32757.5,32757.75,32758.5,32758.25,32759.34,32760.69,32758.79161
32762.8,32765.5,32766.5,32761.8,32756,32762.75,32759.75,32758.75,32757.25,32757.25,32757.75,32757,32756.75,32757.25,32757.25,32757.5,32758,32757.75,32758.25,32758.5,32757.25,32758,32758,32758.25,32758.5,32760.69,32760.61,32759.91585
32759.8,32761,32761,32760.5,32758.5,32760.25,32761.25,32761.5,32761.25,32761.5,32761.5,32761.25,32761,32760.75,32761.25,32761.75,32762.5,32762.25,32762.25,32762.75,32762.25,32762.75,32762.5,32762.5,32762.5,32760.61,32777.24,32760.80464
32778.5,32773.3,32776.5,32776,32776.3,32780.25,32780.5,32777.5,32776.75,32776.75,32776.75,32777,32777.5,32776.75,32777,32777.25,32777,32777,32776.5,32776.5,32775.5,32776.5,32778.25,32777.5,32776.25,32777.24,32782.47,32776.81082
32781,32781.3,32780.3,32783.8,32780.8,32784.25,32783.75,32781.75,32782.25,32783.75,32783.25,32784,32784,32783.5,32783.5,32783.25,32783.75,32783.75,32783.75,32784,32784.25,32784.5,32784.5,32783.25,32783,32782.47,32762.99,32782.22917
32762.8,32762.5,32763.5,32761.8,32760.8,32764.25,32764.5,32763.75,32763.5,32763.5,32763.25,32763,32763,32763,32763,32763.5,32763.5,32763.75,32763.75,32763.75,32763.25,32763.25,32763.25,32763.25,32763.5,32762.99,32771.22,32762.93948
32770.5,32770.8,32771.3,32773.8,32768.5,32773.25,32770.75,32770.5,32771.75,32771.25,32771.25,32769.75,32770.25,32770.25,32770.75,32770.75,32770.75,32770,32770.25,32770.5,32770.5,32770.75,32770.25,32770.25,32767.75,32771.22,32771.53,32770.8497
32771,32771.5,32770.5,32774.5,32770,32772,32771.5,32772.25,32773,32771.25,32771.5,32769.75,32769.75,32770.25,32770.75,32770.75,32770.75,32770,32771,32771.25,32770.75,32770.5,32770.25,32769.5,32769.5,32771.53,32783.54,32771.2881
32782.5,32784.8,32787,32782.8,32779.8,32782.5,32783.5,32785.5,32785.5,32785.75,32784,32783.5,32783,32782.5,32783.25,32783,32783.5,32783.5,32783.5,32783.75,32784.75,32785,32785.5,32786,32786.25,32783.54,32769.02,32783.99038
32768.8,32769.8,32771.3,32771.3,32766.5,32768.75,32768,32768.5,32769,32769,32769,32767.75,32767.75,32767.25,32767,32766.5,32766.25,32766,32767,32767.25,32766.75,32766.75,32768,32767.75,32768,32769.02,32768.19,32768.79959
32767.3,32767.5,32771,32771.3,32766.5,32767.75,32767.5,32768.25,32767.75,32767.25,32767.5,32767.5,32767.75,32768,32768,32768.25,32768.25,32768,32767.5,32767.75,32767.5,32767.75,32767.25,32768.5,32768.75,32768.19,32786.81,32768.16406
32787.5,32787.5,32787.5,32787.3,32785,32787.5,32787.5,32785.5,32785,32787,32786.5,32786.75,32786.75,32786.75,32789,32788.5,32788.75,32789,32789,32789.5,32790.5,32791,32790.75,32791.25,32791.25,32786.81,32778.69,32786.91691
32779.8,32780.5,32779.5,32780.8,32780.3,32779.25,32778,32778.25,32776.5,32776,32775.75,32776.25,32776.5,32778.5,32778.75,32778,32777.5,32777.5,32777,32777.5,32777.25,32778,32778,32778.25,32778.25,32778.69,32774.8,32778.39843
32772.8,32774.3,32778.3,32775.3,32775.5,32772.75,32773.25,32775.25,32775.25,32775.5,32775.75,32775.5,32774.75,32774.75,32774.5,32774.75,32775,32774.5,32775,32775,32775.5,32775.75,32775.75,32775.25,32773.5,32774.8,32770.21,32775.22163
